Date,Close,High,Low,Open,Volume,MA_Short,MA_Long,RSI,BB_Upper,BB_Lower,Daily_Return,Lag_1_Close,Target_Next_Day_Price
2020-01-30,9508.9931640625,9553.1259765625,9230.8974609375,9316.0166015625,32378792851,8929.163504464286,8357.228515625,73.87586512885102,9500.56884681868,7930.026416853196,0.02064730312029206,9316.6298828125,9350.529296875
2020-01-31,9350.529296875,9521.7060546875,9230.7763671875,9508.3134765625,29432489719,9058.46275111607,8428.907014973958,68.6606977350068,9546.94225997974,8014.952173614008,-0.016664631518128026,9508.9931640625,9392.875
2020-02-01,9392.875,9439.3232421875,9313.2392578125,9346.357421875,25922656496,9204.895228794643,8509.153841145833,69.28469725381032,9600.909167313772,8081.023352217477,0.00452869583961979,9350.529296875,9344.365234375
2020-02-02,9344.365234375,9468.7978515625,9217.82421875,9389.8203125,30835736946,9311.685965401786,8575.803206380207,67.62359003349995,9617.558323529407,8184.3912858455915,-0.0051645279666768795,9392.875,9293.521484375
2020-02-03,9293.521484375,9540.3720703125,9248.6337890625,9344.68359375,30934096509,9366.500558035714,8638.565364583334,65.84180561695638,9660.822703671223,8187.702589297524,-0.005441113304621492,9344.365234375,9180.962890625
2020-02-04,9180.962890625,9331.265625,9112.8115234375,9292.841796875,29893183716,9341.125279017857,8697.553548177084,61.95022873491199,9685.945470953955,8199.975036858546,-0.012111511652417528,9293.521484375,9613.423828125
2020-02-05,9613.423828125,9701.2998046875,9163.7041015625,9183.416015625,35222060874,9383.5244140625,8759.027034505209,69.42701043643052,9780.044747419615,8194.839529924135,0.047104093835473426,9180.962890625,9729.8017578125
2020-02-06,9729.8017578125,9824.619140625,9539.818359375,9617.8212890625,37628823716,9415.06849888393,8811.230680338542,71.07424619272282,9885.834365397657,8169.126279133592,0.012105773319493585,9613.423828125,9795.943359375
2020-02-07,9795.943359375,9834.716796875,9726.0029296875,9726.0029296875,34522718159,9478.69907924107,8868.433365885418,71.99766941984024,9993.134419537553,8147.139701556196,0.006797836503646293,9729.8017578125,9865.119140625
2020-02-08,9865.119140625,9876.7490234375,9678.91015625,9793.0703125,35172043762,9546.162527901786,8934.6349609375,72.9695943483111,10099.143045312445,8157.018478125053,0.007061676319697785,9795.943359375,10116.673828125
